,country,total_vaccinations,people_vaccinated,people_fully_vaccinated
0,China,2180986000.0,1100842000.0,1022207000.0
1,India,812232500.0,606563260.0,205669280.0
2,United States,386237900.0,212035330.0,181728060.0
3,Brazil,222478690.0,146421250.0,80596820.0
4,Japan,153118700.0,84263960.0,68854744.0
5,Indonesia,124882420.0,79657760.0,45224650.0
6,Germany,105834270.0,55928510.0,52599236.0
7,Turkey,105611260.0,52824748.0,42286430.0
8,Mexico,95271400.0,62089020.0,41698948.0
9,United Kingdom,93059140.0,48593020.0,44466120.0
10,France,92262410.0,49707676.0,43042656.0
11,Russia,87900630.0,46923760.0,40976870.0
12,Italy,82670260.0,44356850.0,39771164.0
13,England,77997544.0,40752840.0,37244704.0
14,Pakistan,74837120.0,55490524.0,24868018.0
15,Spain,69332830.0,37452530.0,36005544.0
16,South Korea,55514852.0,35414516.0,21489008.0
17,Canada,55207260.0,28755932.0,26451328.0
18,Argentina,49017570.0,29032592.0,20011380.0
19,Thailand,44742050.0,29002572.0,15118015.0
20,Iran,43372270.0,29526662.0,13961491.0
21,Philippines,41414016.0,18697648.0,18560408.0
22,Saudi Arabia,41035356.0,23126976.0,17908380.0
23,Malaysia,40664670.0,22099720.0,18648796.0
24,Colombia,38442060.0,25114160.0,16137068.0
25,Morocco,38436040.0,21006394.0,17429646.0
26,Bangladesh,37400948.0,22491064.0,14909884.0
27,Poland,36956930.0,19648110.0,19244808.0
28,Vietnam,34095244.0,27577472.0,6517771.0
29,Chile,30785768.0,14677188.0,14009074.0
30,Sri Lanka,24866006.0,13772541.0,11093465.0
31,Australia,24792054.0,15091631.0,9700423.0
32,Peru,23478944.0,14141325.0,9337618.0
33,Netherlands,22196528.0,12068854.0,10924705.0
34,Cambodia,22152520.0,12049739.0,10304104.0
35,Ecuador,20813706.0,11039941.0,9773765.0
36,United Arab Emirates,19486568.0,9108831.0,8030804.0
37,Cuba,18126208.0,8200250.0,4507757.0
38,Uzbekistan,17435318.0,9787973.0,3345225.0
39,Belgium,16475767.0,8529661.0,8319046.0
40,South Africa,15992374.0,11579000.0,7911171.0
41,Portugal,15550992.0,8846756.0,8319395.0
42,Israel,14760494.0,6071020.0,5590150.0
43,Kazakhstan,13461216.0,7300062.0,6161154.0
44,Sweden,13403076.0,7070462.0,6332614.0
45,Taiwan,13171843.0,11593038.0,1578805.0
46,Egypt,12964351.0,8158764.0,4805587.0
47,Greece,11909198.0,6374615.0,5959272.0
48,Nepal,11782181.0,6203316.0,5578865.0
49,Czechia,11726533.0,6047611.0,5904420.0
50,Dominican Republic,11637410.0,5976376.0,4818161.0
51,Ukraine,11565584.0,6366923.0,5198661.0
52,Venezuela,11094206.0,6822809.0,4271397.0
53,Austria,10732835.0,5669958.0,5355022.0
54,Switzerland,10130475.0,5320184.0,4613934.0
55,Algeria,9989662.0,5815039.0,4174623.0
56,Romania,9940596.0,5368199.0,5256808.0
57,Hungary,9249943.0,5862458.0,5579231.0
58,Singapore,9140736.0,4662940.0,4551918.0
59,Myanmar,9001616.0,5530365.0,3471251.0
60,Denmark,8731553.0,4443846.0,4334093.0
61,Hong Kong,8405012.0,4412542.0,3992470.0
62,Azerbaijan,7977574.0,4619842.0,3357732.0
63,Scotland,7968388.0,4157613.0,3810775.0
64,Norway,7615534.0,4063186.0,3552348.0
65,Finland,7376691.0,4104928.0,3271763.0
66,El Salvador,7153847.0,3907613.0,3246234.0
67,Tunisia,7132375.0,4656510.0,3209273.0
68,Ireland,7130149.0,3752726.0,3612270.0
69,Jordan,6824232.0,3638442.0,3185790.0
70,Iraq,6672182.0,4203578.0,2468604.0
71,Bolivia,6388703.0,4183793.0,3042201.0
72,Serbia,6281265.0,2998753.0,2861250.0
73,Nigeria,6186647.0,4415507.0,1771140.0
74,Guatemala,6148726.0,4116940.0,2031786.0
75,Uruguay,6042451.0,2719832.0,2559811.0
76,Panama,5055799.0,2895346.0,2160453.0
77,Zimbabwe,5044809.0,2961845.0,2082964.0
78,Costa Rica,4872085.0,3144786.0,1727299.0
79,New Zealand,4762679.0,3118082.0,1644597.0
80,Qatar,4653019.0,2360308.0,2218292.0
81,Slovakia,4650575.0,2421490.0,2229085.0
82,Honduras,4637151.0,2947650.0,1689501.0
83,Oman,4636486.0,2810262.0,1826224.0
84,Wales,4586577.0,2377009.0,2209568.0
85,Laos,4402770.0,2799549.0,1909360.0
86,Paraguay,4401222.0,2550991.0,1850231.0
87,Mongolia,4371868.0,2249078.0,2122790.0
88,Tajikistan,3872421.0,2307140.0,1565281.0
89,Mozambique,3427486.0,1864229.0,1563257.0
90,Croatia,3369026.0,1782796.0,1671137.0
91,Rwanda,3340448.0,1836045.0,1368758.0
92,Lithuania,3339375.0,1720488.0,1618887.0
93,Kenya,3337913.0,2480543.0,857370.0
94,Belarus,3206505.0,1751254.0,1455251.0
95,Afghanistan,3133227.0,773002.0,430744.0
96,Ethiopia,3018870.0,2442551.0,576319.0
97,Angola,2820134.0,1836547.0,983587.0
98,Lebanon,2739627.0,1516847.0,1222780.0
99,Bahrain,2540329.0,1161519.0,1106254.0
100,Northern Ireland,2506630.0,1305556.0,1201074.0
101,Bulgaria,2471212.0,1089066.0,1281766.0
102,Kuwait,2375455.0,2668082.0,923307.0
103,Slovenia,2065115.0,1093723.0,971392.0
104,Palestine,1857274.0,1292634.0,564640.0
105,Senegal,1768064.0,1203066.0,564998.0
106,Cote d'Ivoire,1761075.0,1193877.0,273400.0
107,Georgia,1671295.0,952219.0,719076.0
108,Albania,1649884.0,918307.0,731577.0
109,Mauritius,1625865.0,842642.0,783223.0
110,Ghana,1623582.0,865422.0,758160.0
111,Latvia,1586124.0,890735.0,808258.0
112,Sudan,1499982.0,649062.0,581846.0
113,Libya,1464304.0,1305045.0,159259.0
114,Uganda,1436264.0,1030447.0,366658.0
115,North Macedonia,1435392.0,767653.0,667739.0
116,Guinea,1387699.0,953942.0,433757.0
117,Moldova,1363602.0,573001.0,755304.0
118,Kyrgyzstan,1350457.0,774616.0,571416.0
119,Estonia,1338040.0,749179.0,588861.0
120,Kosovo,1176154.0,734532.0,441622.0
121,Cyprus,1129665.0,589098.0,540567.0
122,Bosnia and Herzegovina,1060145.0,634063.0,426082.0
123,Bhutan,1046117.0,567220.0,478897.0
124,Trinidad and Tobago,1022940.0,558811.0,464129.0
125,Malawi,983126.0,748937.0,473443.0
126,Fiji,912149.0,569958.0,342191.0
127,Togo,832822.0,445041.0,387781.0
128,Malta,811753.0,418759.0,418259.0
129,Luxembourg,777789.0,414577.0,399522.0
130,Nicaragua,769105.0,490472.0,278633.0
131,Maldives,722370.0,390965.0,331405.0
132,Jamaica,702693.0,506797.0,216103.0
133,Timor,668010.0,420827.0,247183.0
134,Macao,649564.0,348347.0,303260.0
135,Zambia,648103.0,311049.0,291947.0
136,Niger,621853.0,404246.0,87492.0
137,Botswana,587595.0,365655.0,221940.0
138,Iceland,547788.0,281141.0,274175.0
139,Syria,533949.0,285087.0,248862.0
140,Guyana,518295.0,341600.0,176695.0
141,Cameroon,452336.0,370319.0,82017.0
142,Montenegro,433867.0,230187.0,203680.0
143,Brunei,405352.0,247487.0,157865.0
144,Mali,396027.0,309550.0,86477.0
145,Somalia,390141.0,241945.0,148196.0
146,Cape Verde,385717.0,277322.0,108529.0
147,Madagascar,381633.0,197001.0,184632.0
148,Suriname,378571.0,217907.0,160664.0
149,Namibia,374178.0,232051.0,142127.0
150,Equatorial Guinea,370163.0,210358.0,159805.0
151,Armenia,366779.0,237454.0,129325.0
152,Tanzania,350000.0,350000.0,350000.0
153,Comoros,334369.0,174765.0,159604.0
154,Mauritania,333089.0,311544.0,21545.0
155,Lesotho,332954.0,249173.0,238727.0
156,Yemen,322934.0,308025.0,14909.0
157,Congo,319231.0,207265.0,111966.0
158,Northern Cyprus,302854.0,160361.0,142493.0
159,Belize,275719.0,180196.0,95523.0
160,French Polynesia,271181.0,146890.0,124291.0
161,Eswatini,231078.0,200605.0,193318.0
162,Barbados,223505.0,125925.0,97580.0
163,Sierra Leone,221110.0,181065.0,40045.0
164,Gambia,201835.0,179910.0,165785.0
165,Curacao,185713.0,97358.0,88355.0
166,New Caledonia,176813.0,101168.0,75645.0
167,Benin,174104.0,152699.0,21405.0
168,Bahamas,173130.0,105753.0,65915.0
169,Gabon,171339.0,100263.0,71076.0
170,Burkina Faso,166160.0,166160.0,102268.0
171,Papua New Guinea,154710.0,114419.0,40291.0
172,Aruba,154700.0,80707.0,73993.0
173,Jersey,150652.0,76918.0,73734.0
174,Seychelles,148402.0,77311.0,71091.0
175,Samoa,142566.0,97032.0,45534.0
176,Democratic Republic of Congo,130482.0,96764.0,33718.0
177,Isle of Man,128919.0,65431.0,63488.0
178,Chad,123052.0,98213.0,24839.0
179,Liberia,113680.0,104545.0,27392.0
180,Central African Republic,112492.0,102591.0,9901.0
181,Cayman Islands,104609.0,54167.0,50442.0
182,Guernsey,101586.0,32969.0,13618.0
183,Solomon Islands,97744.0,74573.0,23171.0
184,South Sudan,96041.0,69157.0,26884.0
185,Andorra,93430.0,51599.0,41831.0
186,Bermuda,86194.0,43549.0,42645.0
187,Guinea-Bissau,83294.0,76511.0,6783.0
188,Antigua and Barbuda,81915.0,45099.0,36816.0
189,Gibraltar,79305.0,39846.0,39459.0
190,Greenland,76772.0,40922.0,35850.0
191,Faeroe Islands,73404.0,37658.0,35746.0
192,Saint Lucia,72577.0,43431.0,29146.0
193,Tonga,68404.0,41130.0,27274.0
194,Djibouti,66010.0,39923.0,26087.0
195,Sao Tome and Principe,65542.0,51447.0,14095.0
196,Haiti,60688.0,42494.0,18535.0
197,Turks and Caicos Islands,52374.0,27446.0,24928.0
198,Grenada,51610.0,30783.0,20827.0
199,Vanuatu,50620.0,39347.0,11273.0
200,Monaco,49980.0,26672.0,23308.0
201,Sint Maarten (Dutch part),49159.0,25672.0,23487.0
202,San Marino,46917.0,24329.0,24329.0
203,Saint Kitts and Nevis,46884.0,24968.0,21916.0
204,Liechtenstein,45357.0,23888.0,21765.0
205,Dominica,43971.0,23300.0,20671.0
206,Turkmenistan,41993.0,32240.0,9753.0
207,Bonaire Sint Eustatius and Saba,35845.0,19109.0,16736.0
208,Saint Vincent and the Grenadines,32614.0,19718.0,12896.0
209,British Virgin Islands,32229.0,18405.0,13824.0
210,Kiribati,31332.0,24429.0,6903.0
211,Cook Islands,22456.0,11416.0,11040.0
212,Anguilla,18565.0,9498.0,9067.0
213,Nauru,14863.0,7612.0,7251.0
214,Tuvalu,10861.0,6209.0,4652.0
215,Wallis and Futuna,9902.0,4952.0,4950.0
216,Saint Helena,7892.0,4361.0,3531.0
217,Falkland Islands,4407.0,2632.0,1775.0
218,Montserrat,2856.0,1472.0,1384.0
219,Niue,2352.0,1202.0,1150.0
220,Tokelau,968.0,968.0,
221,Pitcairn,94.0,47.0,47.0
