,Order ID,Placed Date,Customer ID,Order Number,Is Trial (Yes / No),Gross revenue
0,278280,2020-10-04,65330,3,No,40.5
1,302552,2020-10-04,58096,13,No,59.88
2,298356,2020-10-04,43520,25,No,40.5
3,301338,2020-10-04,56422,6,No,59.88
4,311208,2020-10-04,69329,3,No,59.88
5,300864,2020-10-04,67859,2,No,40.5
6,322585,2020-10-04,70967,2,No,59.88
7,302754,2020-10-04,66690,5,No,59.88
8,247738,2020-10-04,41991,5,No,59.88
9,299397,2020-10-04,61965,15,No,59.88
10,302637,2020-10-04,56463,15,No,40.5
11,316450,2020-10-04,70066,2,No,59.88
12,302633,2020-10-04,33826,38,No,59.88
13,287856,2020-10-04,13998,22,No,40.5
14,266266,2020-10-04,58546,7,No,44.45
15,302210,2020-10-04,64164,8,No,67.78
16,300328,2020-10-04,45957,23,No,65.88
17,274787,2020-10-04,52463,12,No,66.0
18,302760,2020-10-04,66710,5,No,59.88
19,173462,2020-10-04,49031,2,No,59.88
20,327750,2020-10-04,71710,2,No,48.48
21,307659,2020-10-04,66611,8,No,40.5
22,302386,2020-10-04,34272,41,No,59.88
23,303454,2020-10-04,68253,3,No,59.88
24,282117,2020-10-04,38507,13,No,59.88
25,288942,2020-10-04,66448,4,No,59.88
26,290461,2020-10-04,59048,9,No,48.5
27,269984,2020-10-04,7367,22,No,59.88
28,268110,2020-10-04,27107,22,No,59.88
29,262355,2020-10-04,56835,10,No,59.88
30,324354,2020-10-04,71176,3,No,70.88
31,241483,2020-10-04,61330,4,No,59.88
32,298346,2020-10-04,50270,19,No,44.5
33,317648,2020-10-04,29867,134,No,40.5
34,262423,2020-10-04,40729,14,No,91.83
35,324395,2020-10-04,71186,2,No,52.5
36,318253,2020-10-04,70286,2,No,63.83
37,322839,2020-10-04,39775,2,No,59.88
38,311984,2020-10-04,69476,2,No,74.88
39,312358,2020-10-04,67927,5,No,59.88
40,293718,2020-10-04,23291,31,No,68.5
41,284686,2020-10-04,59596,10,No,59.88
42,261812,2020-10-04,28016,22,No,59.5
43,313127,2020-10-04,69553,2,No,40.5
44,310804,2020-10-04,69243,2,No,40.5
45,321442,2020-10-04,70733,2,No,40.5
46,306299,2020-10-04,68663,3,No,59.88
47,289010,2020-10-04,66458,4,No,59.88
48,321667,2020-10-04,68223,6,No,40.5
49,309267,2020-10-04,68249,5,No,40.5
50,280237,2020-10-04,50557,25,No,59.88
51,290435,2020-10-04,58076,10,No,59.88
52,312962,2020-10-04,42638,26,No,40.5
53,255253,2020-10-04,45159,9,No,59.88
54,312101,2020-10-04,69497,3,No,89.88
55,320386,2020-10-04,70583,2,No,59.88
56,309002,2020-10-04,59710,18,No,59.88
57,319048,2020-10-04,70427,2,No,47.5
58,316161,2020-10-04,70000,3,No,40.5
59,259597,2020-10-04,60891,5,No,59.88
60,299649,2020-10-04,47401,22,No,69.88
61,317991,2020-10-04,66872,9,No,40.5
62,272255,2020-10-04,48192,6,No,40.5
63,302797,2020-10-04,64206,13,No,76.5
64,295661,2020-10-04,51110,14,No,59.88
65,336668,2020-10-04,73146,1,No,48.5
66,322925,2020-10-04,71044,2,No,59.88
67,337910,2020-10-04,73225,1,No,40.5
68,298473,2020-10-04,67521,3,No,48.4
69,337972,2020-10-04,73231,1,Yes,4.98
70,337860,2020-10-04,73220,1,No,40.5
71,307010,2020-10-04,60215,19,No,40.5
72,337632,2020-10-04,73180,1,No,59.88
73,338089,2020-10-04,73249,1,Yes,7.48
74,337716,2020-10-04,73197,1,No,40.5
75,338215,2020-10-04,73270,1,Yes,4.98
76,248745,2020-10-04,10008,9,No,52.35
77,304246,2020-10-04,59736,13,No,75.83
78,311245,2020-10-04,69337,3,No,59.88
79,337894,2020-10-04,60466,8,No,40.5
80,329804,2020-10-04,72146,2,No,59.88
81,338259,2020-10-04,73280,1,No,63.88
82,321706,2020-10-04,70784,2,No,48.5
83,322914,2020-10-04,71041,3,No,59.88
84,278599,2020-10-04,61572,6,No,40.5
85,286290,2020-10-04,31772,14,No,59.88
86,336684,2020-10-04,73150,1,No,40.5
87,336672,2020-10-04,73147,1,No,59.88
88,337628,2020-10-04,38769,8,No,40.5
89,337731,2020-10-04,41007,3,No,40.5
90,337767,2020-10-04,73206,1,No,44.5
91,338081,2020-10-04,71035,2,No,59.88
92,338125,2020-10-04,73254,1,Yes,4.98
93,302582,2020-10-04,64065,8,No,40.5
94,316783,2020-10-04,70129,2,No,59.88
95,249111,2020-10-04,25628,18,No,59.88
96,293858,2020-10-04,66497,5,No,59.88
97,302348,2020-10-04,4956,8,No,47.45
98,283271,2020-10-04,49911,15,No,59.88
99,317915,2020-10-04,69522,5,No,46.5
100,331260,2020-10-04,72274,2,No,40.5
101,316941,2020-10-04,70160,4,No,63.88
102,286754,2020-10-04,61177,15,No,59.88
103,314346,2020-10-04,53395,27,No,40.5
104,278657,2020-10-04,41748,9,No,40.5
105,311624,2020-10-04,69405,2,No,59.88
106,337952,2020-10-04,22512,4,No,68.88
107,321609,2020-10-04,70640,2,No,67.88
108,318070,2020-10-04,52393,32,No,59.88
109,317257,2020-10-04,70229,3,No,59.88
110,318374,2020-10-04,70307,4,No,95.88
111,302706,2020-10-04,28850,21,No,67.88
112,320427,2020-10-04,70591,2,No,49.5
113,336723,2020-10-04,33597,4,No,46.5
114,336660,2020-10-04,44092,7,No,40.5
115,285880,2020-10-04,66158,4,No,59.88
116,249191,2020-10-04,46112,15,No,40.5
117,338219,2020-10-04,73271,1,No,59.88
118,302323,2020-10-04,239,20,No,52.5
119,298097,2020-10-04,63512,8,No,65.88
120,255093,2020-10-04,27876,9,No,46.5
121,306422,2020-10-04,68691,3,No,59.88
122,311179,2020-10-04,69323,2,No,59.88
123,322479,2020-10-04,70944,2,No,40.5
124,306426,2020-10-04,68692,3,No,59.88
125,301141,2020-10-04,67914,2,No,40.5
126,267924,2020-10-04,30625,15,No,59.88
127,302350,2020-10-04,51928,7,No,59.88
128,316800,2020-10-04,70132,3,No,59.88
129,322605,2020-10-04,70972,2,No,40.5
130,337695,2020-10-04,73193,1,Yes,4.98
131,322737,2020-10-04,71001,2,No,40.5
132,337596,2020-10-04,73172,1,No,59.88
133,337791,2020-10-04,23612,4,No,71.88
134,337927,2020-10-04,52815,6,No,59.88
135,337771,2020-10-04,69682,2,No,59.88
136,338141,2020-10-04,73258,1,No,83.88
137,299451,2020-10-04,47491,21,No,59.88
138,237304,2020-10-04,57468,5,No,59.88
139,321553,2020-10-04,70752,3,No,59.88
140,317554,2020-10-04,63124,10,No,40.5
141,302116,2020-10-04,68119,4,No,48.5
142,312403,2020-10-04,60936,17,No,59.88
143,337914,2020-10-04,66581,11,No,76.5
144,270486,2020-10-04,60441,7,No,59.88
145,275225,2020-10-04,26619,20,No,59.88
146,324937,2020-10-04,71298,2,No,59.88
147,274814,2020-10-04,52101,7,No,44.5
148,322856,2020-10-04,71027,2,No,46.5
149,297852,2020-10-04,29318,27,No,59.88
150,312536,2020-10-04,60293,20,No,59.88
151,227436,2020-10-04,51276,8,No,59.88
152,337648,2020-10-04,73184,1,Yes,4.98
153,240366,2020-10-04,40851,6,No,59.88
154,318344,2020-10-04,47450,30,No,40.5
155,302401,2020-10-04,65058,10,No,75.68
156,338004,2020-10-04,73235,1,No,62.38
157,311118,2020-10-04,69312,2,No,67.88
158,338227,2020-10-04,73273,1,No,40.5
159,275792,2020-10-04,65012,3,No,77.73
160,317540,2020-10-04,69366,5,No,40.5
161,300807,2020-10-04,40461,10,No,71.73
162,338008,2020-10-04,73236,1,No,59.88
163,278726,2020-10-04,63418,6,No,56.5
164,310274,2020-10-04,69143,3,No,59.88
165,278564,2020-10-04,61674,6,No,40.5
166,322674,2020-10-04,70987,3,No,59.88
167,266305,2020-10-04,43594,15,No,59.88
168,328183,2020-10-04,71797,2,No,40.5
169,302575,2020-10-04,44204,18,No,59.88
170,338133,2020-10-04,73256,1,No,65.88
171,288092,2020-10-04,55805,13,No,48.5
172,338282,2020-10-04,73284,1,No,59.88
173,317898,2020-10-04,68489,6,No,59.88
174,323293,2020-10-04,71114,2,No,48.4
175,313520,2020-10-04,69636,4,No,59.88
176,287877,2020-10-04,7522,35,No,59.88
177,337827,2020-10-04,73217,1,No,59.88
178,318012,2020-10-04,45542,34,No,59.88
179,328661,2020-10-04,71895,3,No,59.88
180,284928,2020-10-04,63686,6,No,59.88
181,307271,2020-10-04,60679,21,No,59.88
182,337763,2020-10-04,73205,1,No,59.88
183,300434,2020-10-04,29043,26,No,59.88
184,337612,2020-10-04,73176,1,No,59.88
185,280786,2020-10-04,40223,14,No,40.5
186,302746,2020-10-04,53341,15,No,59.88
187,338017,2020-10-04,73237,1,Yes,4.98
188,278738,2020-10-04,7977,13,No,51.5
189,254978,2020-10-04,62653,4,No,59.88
190,307296,2020-10-04,66210,8,No,40.5
191,337583,2020-10-04,73169,1,Yes,4.98
192,316134,2020-10-04,69993,4,No,40.5
193,337980,2020-10-04,36989,8,No,59.88
194,229127,2020-10-04,28714,15,No,59.88
195,235837,2020-10-04,29870,24,No,59.88
196,279250,2020-10-04,50506,13,No,93.88
197,262369,2020-10-04,38013,8,No,40.5
198,228274,2020-10-04,44669,8,No,59.88
199,254137,2020-10-04,50974,12,No,59.88
200,302377,2020-10-04,57797,14,No,59.88
201,301371,2020-10-04,67955,2,No,77.88
202,297217,2020-10-04,67411,2,No,40.5
203,207128,2020-10-04,47009,6,No,59.88
204,290249,2020-10-04,57291,10,No,71.88
205,298391,2020-10-04,28036,59,No,40.5
206,304073,2020-10-04,60351,14,No,59.88
207,306153,2020-10-04,68642,2,No,40.5
208,315081,2020-10-04,60307,19,No,59.88
209,260370,2020-10-04,60584,6,No,59.88
210,278842,2020-10-04,54338,10,No,59.88
211,261917,2020-10-04,36502,26,No,59.88
212,285470,2020-10-04,66086,3,No,59.88
213,317743,2020-10-04,45813,25,No,40.5
214,311224,2020-10-04,69332,2,No,44.45
215,321296,2020-10-04,70700,2,No,70.88
216,234227,2020-10-04,60800,4,No,49.5
217,318089,2020-10-04,68265,5,No,59.88
218,217194,2020-10-04,59502,2,No,59.88
219,301589,2020-10-04,68001,3,No,81.88
220,316999,2020-10-04,70174,2,No,59.88
221,312340,2020-10-04,65199,10,No,59.88
222,322665,2020-10-04,70985,2,No,55.5
223,253801,2020-10-04,25624,17,No,59.88
224,286257,2020-10-04,65286,5,No,60.5
225,282936,2020-10-04,38280,28,No,59.88
226,328016,2020-10-04,71759,2,No,89.88
227,257455,2020-10-04,678,3,No,40.5
228,290564,2020-10-04,65726,5,No,59.88
229,279024,2020-10-04,57131,10,No,59.88
230,318470,2020-10-04,67273,8,No,40.5
231,290223,2020-10-04,58025,10,No,59.88
232,305534,2020-10-04,68513,2,No,59.88
233,315863,2020-10-04,69938,4,No,63.83
234,324407,2020-10-04,71189,2,No,59.88
235,317788,2020-10-04,67371,8,No,76.78
236,317523,2020-10-04,46688,44,No,40.5
